,sTrial_start #,sTrial_end #,Trial_start_description,Trial_end_description,2018_11_27__T163,2018_11_28__T163,2018_11_30__T163,2018_12_03__T163,2018_12_04__T163,2018_12_06__T163,2018_12_07__T163,2018_12_10__T163,2018_12_11__T163,2018_12_13__T163,2018_11_27__T164,2018_11_28__T164,2018_11_29__T164,2018_12_03__T164,2018_12_04__T164,2018_12_05__T164,2018_12_06__T164,2018_12_07__T164,2018_12_10__T164,2018_12_11__T164,2018_12_13__T164,2019_01_23__T169,2019_01_25__T169,2019_01_31__T169,2019_02_01__T169,2019_02_11__T169,2019_02_12__T169,2019_02_13__T169,2019_02_14__T169,2019_02_15__T169,2019_02_19__T169,2019_02_20__T169,2019_02_21__T169,2019_02_22__T169,2019_02_25__T169,2019_02_26__T169,2019_02_27__T169,2019_02_28__T169,2019_03_01__T169,2019_01_22__T170,2019_01_23__T170,2019_01_25__T170,2019_01_30__T170,2019_01_31__T170,2019_02_01__T170,2019_02_04__T170,2019_02_11__T170,2019_02_13__T170,2019_02_14__T170,2019_02_19__T170,2019_02_20__T170,2019_02_21__T170,2019_02_22__T170,2019_01_22__T171,2019_01_23__T171,2019_01_25__T171,2019_01_28__T171,2019_01_30__T171,2019_01_31__T171,2019_02_08__T171,2019_02_11__T171,2019_02_12__T171,2019_02_13__T171,2019_02_14__T171,2019_02_15__T171,2019_02_19__T171,2019_02_20__T171,2019_02_21__T171,2019_02_22__T171,2019_02_25__T171,2019_02_26__T171,2019_02_27__T171,2019_02_28__T171,2019_03_01__T171,2019_03_21__T186,2019_03_22__T186,2019_03_25__T186,2019_03_27__T186,2019_03_28__T186,2019_04_01__T186,2019_04_02__T186,2019_04_03__T186,2019_04_04__T186,2019_04_05__T186,2019_03_21__T187,2019_03_22__T187,2019_03_25__T187,2019_03_28__T187,2019_04_01__T187,2019_04_02__T187,2019_04_03__T187,2019_04_04__T187,2019_04_05__T187,2019_05_16__T202,2019_05_18__T202,2019_05_20__T202,2019_05_21__T202,2019_05_22__T202,2019_05_24__T202,2019_05_25__T202,2019_05_26__T202,2019_05_28__T202,2019_05_29__T202,2019_05_30__T202,total_number_of_licks_state_transi,
1,16,20,initBlock,initTrial,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0.096
25,52,53,SelectRewardPost_pre,SelectRewardPost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.096
13,38,41,Cue1_pre,Cue1Penalty_pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,13,0.125
34,63,78,endTrial3,saveData_dataBlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.135
19,47,50,Selection_pre,SelectReward_pre,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,15,0.144
28,54,55,SelectWrong_pre,SelectWrong,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,22,0.212
27,53,61,SelectRewardPost,endTrial1,1,0,0,1,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,4,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0.298
33,63,20,endTrial3,initTrial,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,36,0.346
7,27,23,initTrial_LC_Sel,initTrial4,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,1,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,38,0.365
6,25,27,initTrial_LC_Cue1,initTrial_LC_Sel,0,0,1,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,2,40,0.385
